company_id,year,Debt to Equity,Interest Coverage,Debt Ratio
BHARTIARTL,Mar 2015,2.1,7.56,1.0
BHARTIARTL,Mar 2016,1.51,3.98,1.0
BHARTIARTL,Mar 2017,1.59,3.7,1.0
BHARTIARTL,Mar 2018,1.6,3.23,1.0
BHARTIARTL,Mar 2019,1.76,2.43,1.0
BHARTIARTL,Mar 2020,1.92,2.62,1.0
BHARTIARTL,Mar 2021,2.76,3.0,1.0
BHARTIARTL,Mar 2022,2.55,3.46,1.0
BHARTIARTL,Mar 2023,2.91,3.69,1.0
BHARTIARTL,Mar 2024,2.61,3.46,1.0
BHEL,Mar 2013,0.09,74.09,1.0
BHEL,Mar 2014,0.14,34.43,1.0
BHEL,Mar 2015,0.06,23.27,1.0
BHEL,Mar 2016,0.01,-3.77,1.0
BHEL,Mar 2017,0.0,2.65,1.0
BHEL,Mar 2018,0.0,5.01,1.0
BHEL,Mar 2019,0.08,5.38,1.0
BHEL,Mar 2020,0.18,-0.22,1.0
BHEL,Mar 2021,0.19,-6.53,1.0
BHEL,Mar 2022,0.18,1.85,1.0
BHEL,Mar 2023,0.22,1.71,1.0
BHEL,Mar 2024,0.36,0.86,1.0
BOSCHLTD,Dec 2012,0.04,225.0,1.0
BOSCHLTD,Dec 2013,0.03,,1.0
BOSCHLTD,Mar 2015,0.02,141.5,1.0
BOSCHLTD,Mar 2016,0.01,144.46,1.0
BOSCHLTD,Mar 2017,0.0,72.7,1.0
BOSCHLTD,Mar 2018,0.0,697.67,1.0
BOSCHLTD,Mar 2019,0.0,165.69,1.0
BOSCHLTD,Mar 2020,0.01,148.3,1.0
BOSCHLTD,Mar 2021,0.01,83.07,1.0
BOSCHLTD,Mar 2022,0.01,50.41,1.0
BOSCHLTD,Mar 2023,0.0,150.83,1.0
BOSCHLTD,Mar 2024,0.0,41.08,1.0
BPCL,Mar 2013,1.98,2.66,1.0
BPCL,Mar 2014,1.71,4.75,1.0
BPCL,Mar 2015,1.13,8.29,1.0
BPCL,Mar 2016,0.84,19.07,1.0
BPCL,Mar 2017,1.16,19.8,1.0
BPCL,Mar 2018,1.03,12.91,1.0
BPCL,Mar 2019,1.16,8.57,1.0
BPCL,Mar 2020,1.79,3.4,1.0
BPCL,Mar 2021,1.02,12.19,1.0
BPCL,Mar 2022,1.24,7.34,1.0
BPCL,Mar 2023,1.3,2.91,1.0
BPCL,Mar 2024,0.72,10.62,1.0
BRITANNIA,Mar 2013,0.68,10.27,1.0
BRITANNIA,Mar 2014,0.19,78.38,1.0
BRITANNIA,Mar 2015,0.12,217.5,1.0
BRITANNIA,Mar 2016,0.06,244.8,1.0
BRITANNIA,Mar 2017,0.05,255.6,1.0
BRITANNIA,Mar 2018,0.06,187.62,1.0
BRITANNIA,Mar 2019,0.04,192.44,1.0
BRITANNIA,Mar 2020,0.35,23.94,1.0
BRITANNIA,Mar 2021,0.6,22.6,1.0
BRITANNIA,Mar 2022,0.97,15.28,1.0
BRITANNIA,Mar 2023,0.85,16.75,1.0
BRITANNIA,Mar 2024,0.52,19.31,1.0
CANBK,Mar 2013,14.94,2.18,1.0
CANBK,Mar 2014,14.84,2.33,1.0
CANBK,Mar 2015,15.37,2.18,1.0
