id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,Net Profit Margin,Operating Profit Margin,ROE,ROCE,ROA,Difference
701,INDUSINDBK,Mar 2017,14406,8343,5684.0,379.0,3,4171,191,4360,34.0,2868,48.0,13.0,774,598.0,20048,149026,8976,178648,1307,28,36702,140611,178648,19.91,39.46,13.89,3.35,1.61,339.54
702,INDUSINDBK,Mar 2018,17281,9783,6555.0,942.0,5,4750,212,5481,34.0,3606,60.0,12.0,775,600.0,23241,189928,7856,221626,1313,25,50077,170211,221626,20.87,37.93,15.13,3.07,1.63,904.07
703,INDUSINDBK,Mar 2019,22261,13415,9283.0,-437.0,-2,5647,229,4981,34.0,3301,55.0,14.0,776,603.0,26083,242189,8944,277819,1688,22,59266,216843,277819,14.83,41.7,12.37,3.45,1.19,478.7
704,INDUSINDBK,Mar 2020,28783,16724,12611.0,-553.0,-2,6951,278,6121,28.0,4418,64.0,0.0,777,694.0,34013,262793,9558,307058,1742,78,59980,245257,307058,15.35,43.81,12.73,4.24,1.44,596.81
705,INDUSINDBK,Mar 2021,29000,15472,15997.0,-2469.0,-9,6559,305,3784,25.0,2836,37.0,14.0,778,773.0,42592,307528,12080,362973,1734,75,69695,291469,362973,9.78,55.16,6.54,4.56,0.78,2524.16
706,INDUSINDBK,Mar 2022,30822,15822,15840.0,-839.0,-3,7334,321,6174,25.0,4611,60.0,14.0,779,775.0,46923,341005,13273,401975,1754,95,70971,329155,401975,14.96,51.39,9.67,4.08,1.15,890.39
707,INDUSINDBK,Mar 2023,36368,18776,15525.0,2067.0,6,8166,373,9860,25.0,7390,95.0,15.0,780,776.0,53846,385449,17733,457804,1857,135,83116,372695,457804,20.32,42.69,13.53,3.53,1.61,2024.31
708,INDUSINDBK,Mar 2024,45748,25132,17638.0,2978.0,7,9388,425,11942,25.0,8950,115.0,14.0,781,778.0,62019,432404,19734,514935,2001,197,106527,406211,514935,19.56,38.55,14.25,3.56,1.74,2939.45
786,JIOFIN,Mar 2023,45,6,39.0,88.0,10,0,0,49,37.0,31,,0.0,1033,2.0,114118,743,66,114930,158,38,108141,6593,114930,68.89,86.67,0.03,0.03,0.03,1.3299999999999983
815,KOTAKBANK,Mar 2013,10838,6024,6603.0,-1789.0,-17,5112,179,3144,30.0,2238,15.0,2.0,995,373.0,14894,85561,15006,115835,620,0,40907,74308,115835,20.65,60.92,14.66,6.55,1.93,1849.92
816,KOTAKBANK,Mar 2014,11986,6312,7053.0,-1379.0,-12,5282,208,3695,32.0,2527,16.0,2.0,996,385.0,18699,85937,17176,122197,1264,0,38791,82142,122197,21.08,58.84,13.24,6.72,2.07,1437.84
817,KOTAKBANK,Mar 2015,13319,6966,9718.0,-3366.0,-25,8152,237,4550,33.0,3105,20.0,2.0,997,386.0,21770,104258,22049,148464,1385,0,45589,101490,148464,23.31,72.96,14.01,7.69,2.09,3438.96
818,KOTAKBANK,Mar 2016,20402,11123,11541.0,-2263.0,-11,7631,345,5024,32.0,3524,19.0,3.0,998,917.0,32447,179679,27761,240804,1761,0,70274,168769,240804,17.27,56.57,10.56,5.42,1.46,2319.57
819,KOTAKBANK,Mar 2017,22324,11458,14832.0,-3965.0,-18,11660,362,7332,32.0,5019,27.0,2.0,999,920.0,37572,205230,32465,276188,1759,0,68462,205967,276188,22.48,66.44,13.04,6.09,1.82,4031.44
